GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
triangle,ee.ut.cs.swt.triangle,NextDate,1,211,2,68,0,49,2,40,0,7
triangle,ee.ut.cs.swt.triangle,Triangle,208,0,32,0,41,0,27,0,11,0
